 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
24 0.0 0.0 0.0 0.0 0.0 0.0 28.0 49.0 44.0 46.0 39.0 56.0 53.0 44.0 48.0 43.0 45.0 42.0 53.0 42.0 52.0 56.0 55.0 48.0 56.0 48.0 30.0 44.0 58.0 54.0 43.0 49.0 40.0 47.0 45.0 49.0 46.0 59.0 44.0 38.0 55.0 53.0 48.0 44.0 34.0 40.0 38.0 50.0 46.0 39.0 50.0 57.0 50.0 38.0 0.0 0.0 0.0 0.0 0.0 0.0
26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 32.0 43.0 47.0 35.0 44.0 50.0 59.0 50.0 38.0 47.0 47.0 34.0 49.0 50.0 49.0 46.0 56.0 39.0 54.0 38.0 31.0 49.0 47.0 59.0 40.0 52.0 45.0 49.0 52.0 42.0 43.0 48.0 44.0 50.0 37.0 42.0 41.0 42.0 46.0 45.0 44.0 57.0 37.0 44.0 34.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
28 0.0 210.0 99.0 67.0 45.0 37.0 14.0 23.0 11.0 4.0 7.0 2.0 5.0 6.0 4.0 7.0 4.0 3.0 11.0 7.0 5.0 6.0 6.0 7.0 10.0 8.0 9.0 9.0 11.0 12.0 10.0 7.0 1.0 16.0 9.0 7.0 8.0 15.0 11.0 8.0 13.0 5.0 1.0 8.0 7.0 4.0 2.0 7.0 11.0 6.0 10.0 12.0 20.0 16.0 31.0 33.0 81.0 110.0 219.0 0.0
30 0.0 0.0 107.0 51.0 34.0 23.0 15.0 12.0 14.0 9.0 7.0 3.0 8.0 6.0 9.0 4.0 10.0 6.0 5.0 11.0 5.0 7.0 8.0 9.0 4.0 10.0 11.0 4.0 3.0 5.0 11.0 5.0 7.0 8.0 7.0 6.0 4.0 9.0 6.0 4.0 8.0 9.0 7.0 7.0 4.0 9.0 7.0 2.0 9.0 6.0 6.0 12.0 10.0 12.0 20.0 35.0 47.0 112.0 0.0 0.0
32 0.0 0.0 0.0 83.0 41.0 12.0 16.0 8.0 5.0 4.0 3.0 5.0 9.0 5.0 4.0 2.0 4.0 5.0 5.0 7.0 4.0 4.0 2.0 9.0 4.0 12.0 7.0 6.0 6.0 8.0 3.0 8.0 2.0 5.0 9.0 6.0 2.0 12.0 10.0 10.0 2.0 7.0 3.0 3.0 6.0 5.0 7.0 5.0 0.0 7.0 10.0 7.0 11.0 11.0 18.0 29.0 70.0 0.0 0.0 0.0
34 0.0 0.0 0.0 0.0 39.0 24.0 13.0 13.0 8.0 6.0 4.0 9.0 3.0 5.0 5.0 3.0 3.0 4.0 3.0 3.0 8.0 7.0 10.0 6.0 9.0 3.0 6.0 2.0 1.0 8.0 7.0 4.0 7.0 12.0 4.0 3.0 8.0 8.0 5.0 3.0 5.0 3.0 5.0 2.0 7.0 3.0 4.0 3.0 8.0 0.0 7.0 10.0 8.0 12.0 19.0 45.0 0.0 0.0 0.0 0.0
36 0.0 0.0 0.0 0.0 0.0 50.0 24.0 10.0 9.0 6.0 11.0 6.0 9.0 5.0 7.0 4.0 7.0 8.0 6.0 4.0 3.0 2.0 5.0 6.0 5.0 1.0 2.0 7.0 6.0 5.0 7.0 7.0 8.0 2.0 3.0 2.0 6.0 10.0 5.0 7.0 2.0 5.0 2.0 3.0 5.0 6.0 5.0 8.0 4.0 3.0 6.0 14.0 18.0 21.0 48.0 0.0 0.0 0.0 0.0 0.0
38 0.0 0.0 0.0 0.0 0.0 0.0 38.0 15.0 8.0 10.0 4.0 12.0 7.0 5.0 5.0 9.0 6.0 8.0 5.0 4.0 5.0 2.0 5.0 8.0 4.0 3.0 5.0 4.0 9.0 2.0 5.0 11.0 4.0 4.0 5.0 3.0 7.0 3.0 7.0 5.0 9.0 10.0 11.0 2.0 1.0 2.0 4.0 4.0 11.0 5.0 8.0 7.0 25.0 36.0 0.0 0.0 0.0 0.0 0.0 0.0
40 0.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 22.0 7.0 10.0 3.0 8.0 8.0 4.0 6.0 11.0 4.0 7.0 5.0 2.0 7.0 1.0 1.0 7.0 3.0 6.0 6.0 7.0 5.0 6.0 4.0 5.0 5.0 4.0 1.0 0.0 4.0 3.0 5.0 2.0 6.0 5.0 5.0 2.0 2.0 3.0 9.0 9.0 9.0 8.0 17.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
42 0.0 295.0 127.0 84.0 53.0 37.0 45.0 27.0 12.0 13.0 10.0 11.0 10.0 16.0 7.0 10.0 10.0 13.0 11.0 8.0 8.0 12.0 6.0 8.0 13.0 12.0 9.0 17.0 14.0 15.0 17.0 8.0 21.0 3.0 9.0 5.0 12.0 13.0 16.0 10.0 7.0 11.0 8.0 6.0 6.0 10.0 11.0 10.0 10.0 15.0 8.0 21.0 24.0 24.0 40.0 82.0 82.0 135.0 288.0 0.0
