 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
24 0.0 0.0 0.0 0.0 0.0 0.0 42.0 51.0 54.0 48.0 44.0 54.0 57.0 40.0 31.0 53.0 45.0 48.0 56.0 55.0 52.0 54.0 43.0 49.0 65.0 44.0 48.0 42.0 39.0 51.0 56.0 62.0 60.0 58.0 61.0 49.0 66.0 46.0 57.0 46.0 68.0 64.0 57.0 69.0 54.0 63.0 64.0 64.0 62.0 61.0 53.0 47.0 63.0 46.0 0.0 0.0 0.0 0.0 0.0 0.0
26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 35.0 47.0 48.0 40.0 54.0 53.0 48.0 48.0 51.0 57.0 60.0 56.0 53.0 53.0 66.0 56.0 43.0 59.0 53.0 44.0 49.0 57.0 51.0 48.0 44.0 41.0 50.0 58.0 55.0 63.0 61.0 56.0 60.0 77.0 45.0 74.0 58.0 60.0 77.0 49.0 72.0 46.0 58.0 52.0 54.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
28 0.0 185.0 108.0 85.0 40.0 38.0 23.0 16.0 13.0 9.0 4.0 9.0 8.0 1.0 2.0 2.0 4.0 7.0 3.0 9.0 5.0 13.0 10.0 9.0 4.0 7.0 16.0 13.0 9.0 13.0 9.0 4.0 11.0 7.0 12.0 10.0 9.0 7.0 13.0 12.0 17.0 10.0 7.0 10.0 11.0 8.0 9.0 14.0 6.0 16.0 13.0 16.0 19.0 35.0 33.0 58.0 103.0 107.0 245.0 0.0
30 0.0 0.0 115.0 53.0 39.0 25.0 18.0 9.0 9.0 7.0 4.0 8.0 6.0 8.0 2.0 4.0 6.0 8.0 8.0 4.0 3.0 6.0 10.0 6.0 13.0 3.0 4.0 8.0 8.0 9.0 5.0 4.0 0.0 11.0 10.0 5.0 9.0 6.0 12.0 6.0 9.0 9.0 10.0 6.0 7.0 9.0 9.0 9.0 6.0 4.0 9.0 20.0 15.0 16.0 31.0 37.0 52.0 127.0 0.0 0.0
32 0.0 0.0 0.0 82.0 37.0 24.0 17.0 14.0 9.0 10.0 5.0 5.0 5.0 6.0 4.0 4.0 7.0 7.0 5.0 3.0 8.0 4.0 7.0 3.0 9.0 9.0 9.0 9.0 3.0 4.0 7.0 5.0 3.0 7.0 6.0 12.0 5.0 7.0 6.0 5.0 8.0 10.0 6.0 4.0 2.0 9.0 14.0 11.0 10.0 11.0 11.0 8.0 27.0 22.0 26.0 37.0 81.0 0.0 0.0 0.0
34 0.0 0.0 0.0 0.0 57.0 26.0 25.0 7.0 13.0 9.0 5.0 3.0 6.0 4.0 6.0 6.0 3.0 4.0 3.0 5.0 5.0 9.0 4.0 7.0 3.0 6.0 5.0 7.0 5.0 7.0 9.0 7.0 11.0 2.0 5.0 9.0 10.0 4.0 6.0 13.0 3.0 5.0 5.0 7.0 7.0 5.0 5.0 12.0 9.0 9.0 11.0 11.0 10.0 27.0 24.0 51.0 0.0 0.0 0.0 0.0
36 0.0 0.0 0.0 0.0 0.0 44.0 12.0 14.0 9.0 4.0 7.0 5.0 6.0 5.0 3.0 5.0 5.0 7.0 6.0 2.0 6.0 9.0 7.0 5.0 13.0 8.0 4.0 4.0 4.0 9.0 9.0 5.0 9.0 8.0 10.0 10.0 6.0 9.0 4.0 9.0 8.0 7.0 9.0 6.0 5.0 4.0 4.0 5.0 9.0 11.0 13.0 10.0 12.0 14.0 62.0 0.0 0.0 0.0 0.0 0.0
38 0.0 0.0 0.0 0.0 0.0 0.0 44.0 19.0 10.0 10.0 1.0 6.0 2.0 2.0 13.0 8.0 6.0 4.0 8.0 6.0 9.0 6.0 6.0 5.0 8.0 9.0 5.0 9.0 7.0 4.0 9.0 7.0 7.0 8.0 6.0 8.0 3.0 9.0 10.0 9.0 7.0 6.0 9.0 4.0 3.0 10.0 6.0 6.0 3.0 13.0 12.0 6.0 17.0 39.0 0.0 0.0 0.0 0.0 0.0 0.0
40 0.0 0.0 0.0 0.0 0.0 0.0 0.0 37.0 23.0 17.0 6.0 3.0 5.0 6.0 3.0 6.0 7.0 10.0 5.0 8.0 2.0 4.0 4.0 10.0 4.0 4.0 15.0 11.0 5.0 5.0 7.0 13.0 3.0 9.0 3.0 5.0 8.0 6.0 9.0 9.0 5.0 4.0 3.0 5.0 4.0 6.0 3.0 8.0 6.0 11.0 8.0 20.0 70.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
42 0.0 238.0 146.0 80.0 71.0 33.0 33.0 22.0 10.0 12.0 10.0 8.0 11.0 3.0 4.0 9.0 7.0 5.0 13.0 14.0 11.0 8.0 17.0 11.0 9.0 17.0 8.0 10.0 17.0 10.0 6.0 7.0 7.0 10.0 21.0 18.0 9.0 14.0 13.0 16.0 7.0 6.0 13.0 9.0 10.0 10.0 8.0 12.0 8.0 12.0 13.0 18.0 30.0 25.0 37.0 62.0 82.0 139.0 230.0 0.0
44 0.0 0.0 119.0 61.0 32.0 28.0 35.0 14.0 17.0 11.0 11.0 6.0 2.0 7.0 9.0 3.0 8.0 7.0 8.0 11.0 8.0 12.0 5.0 6.0 10.0 12.0 13.0 3.0 9.0 10.0 7.0 3.0 11.0 8.0 7.0 14.0 11.0 7.0 9.0 5.0 14.0 9.0 6.0 13.0 8.0 4.0 8.0 5.0 8.0 22.0 17.0 17.0 26.0 24.0 34.0 45.0 56.0 104.0 0.0 0.0
46 0.0 0.0 0.0 81.0 36.0 18.0 9.0 13.0 15.0 14.0 9.0 11.0 14.0 8.0 12.0 8.0 9.0 7.0 7.0 8.0 9.0 6.0 5.0 11.0 10.0 9.0 10.0 10.0 6.0 11.0 9.0 5.0 13.0 6.0 11.0 10.0 10.0 11.0 8.0 9.0 6.0 11.0 11.0 11.0 7.0 12.0 5.0 4.0 6.0 19.0 18.0 8.0 15.0 20.0 25.0 45.0 101.0 0.0 0.0 0.0
48 0.0 0.0 0.0 0.0 49.0 20.0 21.0 15.0 8.0 6.0 13.0 8.0 8.0 8.0 7.0 6.0 7.0 5.0 5.0 7.0 5.0 2.0 10.0 10.0 5.0 12.0 7.0 9.0 9.0 9.0 6.0 6.0 4.0 10.0 8.0 5.0 16.0 6.0 11.0 5.0 12.0 13.0 11.0 11.0 13.0 7.0 12.0 9.0 13.0 11.0 9.0 14.0 9.0 27.0 23.0 57.0 0.0 0.0 0.0 0.0
50 0.0 0.0 0.0 0.0 0.0 23.0 18.0 8.0 11.0 16.0 13.0 7.0 7.0 5.0 6.0 1.0 10.0 10.0 6.0 8.0 6.0 7.0 2.0 6.0 9.0 7.0 6.0 5.0 12.0 9.0 6.0 7.0 2.0 10.0 3.0 6.0 6.0 7.0 11.0 6.0 9.0 8.0 4.0 5.0 7.0 8.0 12.0 14.0 7.0 8.0 11.0 20.0 24.0 20.0 60.0 0.0 0.0 0.0 0.0 0.0
52 0.0 0.0 0.0 0.0 0.0 0.0 32.0 7.0 13.0 7.0 14.0 8.0 8.0 12.0 1.0 8.0 8.0 9.0 8.0 9.0 5.0 4.0 8.0 2.0 13.0 9.0 3.0 8.0 6.0 5.0 7.0 8.0 8.0 6.0 6.0 7.0 9.0 5.0 8.0 19.0 9.0 11.0 4.0 11.0 7.0 9.0 10.0 10.0 8.0 13.0 14.0 12.0 19.0 52.0 0.0 0.0 0.0 0.0 0.0 0.0
54 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22.0 11.0 12.0 11.0 7.0 9.0 7.0 3.0 6.0 5.0 8.0 10.0 9.0 7.0 6.0 8.0 6.0 10.0 7.0 8.0 5.0 6.0 7.0 12.0 10.0 8.0 7.0 7.0 4.0 8.0 6.0 14.0 4.0 10.0 5.0 15.0 8.0 10.0 8.0 9.0 14.0 7.0 7.0 17.0 13.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
56 490.0 490.0 381.0 284.0 219.0 201.0 152.0 103.0 117.0 93.0 81.0 77.0 81.0 74.0 82.0 93.0 72.0 93.0 74.0 65.0 84.0 89.0 82.0 78.0 99.0 86.0 91.0 95.0 82.0 96.0 95.0 91.0 80.0 91.0 92.0 88.0 77.0 85.0 96.0 102.0 83.0 88.0 88.0 76.0 71.0 86.0 88.0 95.0 76.0 97.0 99.0 102.0 130.0 158.0 191.0 250.0 266.0 375.0 459.0 467.0
58 478.0 446.0 390.0 265.0 221.0 159.0 154.0 110.0 107.0 101.0 96.0 78.0 85.0 70.0 64.0 71.0 75.0 78.0 93.0 93.0 78.0 77.0 81.0 70.0 88.0 107.0 83.0 77.0 93.0 89.0 85.0 70.0 86.0 76.0 89.0 96.0 108.0 86.0 96.0 98.0 100.0 92.0 85.0 109.0 97.0 94.0 83.0 99.0 85.0 113.0 118.0 114.0 153.0 151.0 186.0 253.0 294.0 348.0 442.0 496.0
60 476.0 392.0 405.0 377.0 382.0 407.0 390.0 408.0 428.0 397.0 363.0 402.0 388.0 357.0 375.0 390.0 378.0 407.0 382.0 392.0 368.0 402.0 399.0 359.0 410.0 398.0 385.0 420.0 397.0 421.0 418.0 437.0 433.0 438.0 443.0 463.0 439.0 432.0 411.0 464.0 521.0 485.0 517.0 463.0 446.0 462.0 465.0 483.0 478.0 472.0 466.0 473.0 506.0 467.0 488.0 494.0 491.0 492.0 468.0 494.0
62 487.0 591.0 597.0 596.0 636.0 618.0 622.0 611.0 601.0 622.0 625.0 621.0 621.0 560.0 596.0 628.0 549.0 586.0 626.0 630.0 594.0 567.0 573.0 603.0 578.0 601.0 558.0 556.0 561.0 532.0 567.0 544.0 577.0 581.0 557.0 560.0 518.0 514.0 547.0 523.0 530.0 562.0 504.0 551.0 515.0 566.0 535.0 524.0 523.0 524.0 529.0 530.0 544.0 522.0 529.0 505.0 481.0 492.0 466.0 464.0
