 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
0 0.0 33.0 8.0 11.0 4.0 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 2.0 2.0 0.0 2.0 1.0 1.0 1.0 2.0 1.0 3.0 2.0 6.0 4.0 5.0 4.0 2.0 8 4.0 4.0 4.0 13.0 22.0 19.0 0.0
2 0.0 0.0 9.0 7.0 1.0 2.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 3.0 2.0 1.0 1.0 1.0 1.0 2.0 1.0 0.0 3.0 4.0 2.0 0.0 6.0 8 4.0 8.0 9.0 5.0 11.0 0.0 0.0
4 0.0 0.0 0.0 2.0 3.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 4.0 1.0 0.0 1.0 0.0 2.0 2.0 2.0 0.0 0.0 0.0 3.0 2.0 0.0 6 4.0 3.0 4.0 5.0 0.0 0.0 0.0
6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 2.0 4.0 4 3.0 5.0 1.0 0.0 0.0 0.0 0.0
8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 2.0 3.0 0.0 1.0 0.0 2.0 1.0 0.0 8 2.0 2.0 0.0 0.0 0.0 0.0 0.0
10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 2 5.0 0.0 0.0 0.0 0.0 0.0 0.0
12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0 3 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14 0.0 76.0 62.0 73.0 69.0 47.0 31.0 30.0 33.0 30.0 25.0 32.0 39.0 18.0 28.0 23.0 25.0 24.0 28.0 24.0 23.0 22.0 27.0 29.0 28.0 25.0 21.0 19.0 22.0 29.0 21.0 26.0 27.0 39.0 30.0 21.0 22.0 25.0 29.0 24.0 26.0 25.0 29.0 29.0 22.0 18.0 24.0 24.0 33.0 26.0 43.0 32.0 30 46.0 49.0 52.0 69.0 81.0 84.0 0.0
16 0.0 0.0 56.0 56.0 58.0 47.0 42.0 32.0 42.0 34.0 23.0 30.0 27.0 34.0 34.0 26.0 26.0 27.0 24.0 31.0 22.0 32.0 34.0 21.0 26.0 32.0 19.0 33.0 31.0 24.0 29.0 22.0 22.0 28.0 31.0 31.0 24.0 25.0 26.0 39.0 29.0 33.0 31.0 30.0 19.0 22.0 21.0 11.0 26.0 28.0 31.0 28.0 38 37.0 58.0 53.0 54.0 58.0 0.0 0.0
18 0.0 0.0 0.0 37.0 28.0 21.0 26.0 40.0 24.0 33.0 24.0 25.0 28.0 26.0 31.0 33.0 31.0 33.0 29.0 34.0 24.0 33.0 28.0 21.0 22.0 21.0 27.0 32.0 19.0 27.0 25.0 18.0 18.0 30.0 26.0 32.0 17.0 28.0 18.0 22.0 23.0 31.0 26.0 21.0 23.0 30.0 30.0 25.0 30.0 31.0 23.0 22.0 38 32.0 36.0 36.0 53.0 0.0 0.0 0.0
