 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
0 0.0 7.84242e-06 1.1125e-05 9.90909e-06 1.8e-05 1.9e-05 1.2e-05 2e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.555e-05 1.093e-05 1e-05 1.439e-05 0.0 1.62e-06 1.1e-06 3e-06 3e-06 4.9610000000000004e-06 9.001900000000001e-06 7.753330000000001e-06 1.60125e-05 1.124e-05 1.551075e-05 6.2952e-07 7.525e-06 1.655e-05 1.047875e-05 1.682e-05 9.175e-06 2.0775e-05 5.49231e-06 8.84545e-06 1.177895e-05 0.0
2 0.0 0.0 7.37778e-06 5.28571e-06 1.1e-05 1.1e-05 1e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.34e-06 0.0 7.3476e-06 5.28663e-06 4.5145e-06 9.1e-06 4.1037e-06 2.2e-06 6e-06 1.4655e-05 7.6482e-06 0.0 4.666669999999999e-06 2.9739e-06 6.85e-06 0.0 1.2418330000000001e-05 1.18375e-05 8.17e-06 1.4007020000000003e-05 2.0947779999999998e-05 1.21e-05 8.663639999999999e-06 0.0 0.0
4 0.0 0.0 0.0 1.1e-05 1.6333329999999997e-05 4e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.7477800000000003e-05 1.3596099999999998e-05 8.7191e-06 2e-06 0.0 3.34e-06 0.0 8.48e-06 4.485e-06 1.152e-05 0.0 0.0 0.0 1.3606670000000001e-05 3.725e-06 0.0 8.036669999999998e-06 8.46e-06 4.8233300000000005e-06 4.725e-06 1.938e-05 0.0 0.0 0.0
6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.42655e-06 0.0 0.0 6.2e-06 0.0 0.0 1.8495e-05 0.0 0.0 0.0 0.0 5.03855e-06 7.5425e-06 3.75e-06 1.0403330000000001e-05 5.44e-06 2.4e-06 0.0 0.0 0.0 0.0
8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.17176e-05 2.96e-05 2e-07 9.795e-06 9e-07 0.0 3.5450999999999997e-06 0.0 6.6e-06 2e-07 0.0 7.4125e-06 1.605e-05 3.215e-05 0.0 0.0 0.0 0.0 0.0
10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.5287e-06 0.0 1.2718e-05 0.0 2.6e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.1e-06 0.0 5.21e-06 2e-06 1.416e-05 0.0 0.0 0.0 0.0 0.0 0.0
12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.4349e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.01671e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.08e-05 0.0 0.0 0.0 2.2e-05 0.0 0.0 1.4e-05 0.0 6.3e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0
14 0.0 1.076447e-05 1.223722e-05 9.5589e-06 1.1352169999999999e-05 8.55106e-06 1.263871e-05 8.89494e-06 1.012727e-05 7.4123300000000006e-06 8.936e-06 1.120937e-05 8.59103e-06 9.938889999999998e-06 8.28571e-06 1.082174e-05 6.568e-06 1.4730829999999998e-05 8.62143e-06 9.31528e-06 1.656043e-05 7.17273e-06 1.2081480000000001e-05 1.0589660000000002e-05 1.0105e-05 7.46e-06 9.14286e-06 8.53684e-06 8.24082e-06 1.168521e-05 9.117619999999999e-06 8.42308e-06 1.194444e-05 8.27538e-06 9.25e-06 1.6690479999999997e-05 8.36818e-06 1.1356e-05 1.0265519999999998e-05 1.0104169999999999e-05 1.053846e-05 1.0732e-05 8.993099999999999e-06 9.472410000000002e-06 1.0236360000000001e-05 5.733330000000001e-06 9.341669999999999e-06 7.25e-06 1.279091e-05 1.457692e-05 8.80233e-06 1.061375e-05 9.563e-06 1.1475e-05 1.0944089999999998e-05 7.82423e-06 9.254349999999999e-06 9.77679e-06 1.07625e-05 0.0
16 0.0 0.0 8.748210000000001e-06 1.116714e-05 1.02e-05 1.1561489999999999e-05 1.0707139999999999e-05 1.397656e-05 1.067381e-05 9.09412e-06 8.98261e-06 1.031333e-05 1.1659020000000001e-05 9.99294e-06 8.329410000000001e-06 1.3519229999999998e-05 7.77308e-06 1.083333e-05 8.82917e-06 1.218065e-05 1.168182e-05 8.79212e-06 8.5e-06 7.18714e-06 1.296154e-05 1.081875e-05 1.114737e-05 1.124993e-05 1.092258e-05 1.325e-05 9.2e-06 9.481360000000001e-06 7.79545e-06 1.1485710000000002e-05 1.039355e-05 8.87742e-06 7.0875e-06 1.42e-05 1.148462e-05 9.17179e-06 9.396549999999999e-06 9.030299999999999e-06 1.022581e-05 1.070333e-05 6.1052599999999995e-06 1.055e-05 1.097143e-05 1.1218179999999999e-05 1.049615e-05 1.0689289999999999e-05 6.26129e-06 9.61071e-06 1.202368e-05 1.2256760000000002e-05 8.58943e-06 7.8834e-06 1.007213e-05 1.235534e-05 0.0 0.0
18 0.0 0.0 0.0 7.799730000000001e-06 9.87143e-06 1.222381e-05 8.357689999999999e-06 7.90825e-06 6.307919999999999e-06 8.91212e-06 8.90417e-06 1.06212e-05 8.74643e-06 1.067692e-05 6.922580000000001e-06 1.188182e-05 7.2419399999999995e-06 8.445449999999999e-06 9.95448e-06 8.29059e-06 9.72917e-06 1.2560610000000002e-05 8.375e-06 6.41429e-06 1.075e-05 1.1314289999999999e-05 7.167230000000001e-06 9.24103e-06 1.011579e-05 9.051849999999999e-06 1.1444000000000001e-05 1.0444439999999999e-05 9.888889999999999e-06 1.146667e-05 6.90385e-06 7.38125e-06 1.091765e-05 1.1057139999999999e-05 5.71111e-06 1.496364e-05 1.13913e-05 9.77419e-06 1.242308e-05 1.4609520000000003e-05 6.4869600000000005e-06 9.96e-06 1.062e-05 1.6088e-05 8.366669999999999e-06 1.047097e-05 8.96087e-06 9.81818e-06 7.86316e-06 9.6125e-06 1.0175e-05 1.208889e-05 9.67358e-06 0.0 0.0 0.0
